"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2012","2012","PC","Percentage","0","Units",,,4.223666,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2013","2013","PC","Percentage","0","Units",,,4.527378,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2014","2014","PC","Percentage","0","Units",,,4.775612,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2015","2015","PC","Percentage","0","Units",,,5.065894,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2016","2016","PC","Percentage","0","Units",,,4.718974,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2003","2003","PC","Percentage","0","Units",,,16.65588,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2004","2004","PC","Percentage","0","Units",,,16.49532,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2005","2005","PC","Percentage","0","Units",,,14.75715,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2006","2006","PC","Percentage","0","Units",,,14.36392,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2007","2007","PC","Percentage","0","Units",,,14.24783,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2008","2008","PC","Percentage","0","Units",,,13.41432,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2009","2009","PC","Percentage","0","Units",,,13.19372,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2010","2010","PC","Percentage","0","Units",,,12.59102,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2011","2011","PC","Percentage","0","Units",,,11.71979,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2012","2012","PC","Percentage","0","Units",,,11.75991,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2013","2013","PC","Percentage","0","Units",,,12.31669,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2014","2014","PC","Percentage","0","Units",,,13.08866,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2015","2015","PC","Percentage","0","Units",,,13.45119,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2003","2003","PC","Percentage","0","Units",,,11.57079,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2004","2004","PC","Percentage","0","Units",,,11.25202,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2005","2005","PC","Percentage","0","Units",,,10.79181,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2006","2006","PC","Percentage","0","Units",,,10.68459,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2007","2007","PC","Percentage","0","Units",,,10.92388,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2008","2008","PC","Percentage","0","Units",,,9.909038,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2009","2009","PC","Percentage","0","Units",,,9.64574,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2010","2010","PC","Percentage","0","Units",,,9.601077,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2011","2011","PC","Percentage","0","Units",,,9.317006,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2012","2012","PC","Percentage","0","Units",,,8.710687,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2013","2013","PC","Percentage","0","Units",,,8.869246,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2014","2014","PC","Percentage","0","Units",,,9.581384,,
"BRA","Brazil","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2015","2015","PC","Percentage","0","Units",,,9.867004,,
"LVA","Latvia","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2007","2007","PC","Percentage","0","Units",,,3.157895,"N","Non-publishable, but non-confidential value"
"LVA","Latvia","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2015","2015","PC","Percentage","0","Units",,,4.494382,"N","Non-publishable, but non-confidential value"
